what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1342777420682
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1342777420682
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1342777420682
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1342777420682
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1342777420682
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1342777420682
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1342777420683
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1342777420683
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1342777420683
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1342777420683
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1342777420683
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1342777420683
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1342777420683
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1342777420683
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1342777420683
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1342777420683
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1342777420684
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1342777420684
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1342777420684
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1342777420684
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1342777420684
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1342777420684
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1342777420684
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1342777420684
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1342777420684
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1342777420684
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1342777420684
started,bundle,org.eclipse.egit.core,2.0.0.201206130900-r,"org.eclipse.egit.core",1342777420684
started,bundle,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui",1342777420684
started,bundle,org.eclipse.jgit,2.0.0.201206130900-r,"org.eclipse.jgit",1342777420685
os,sysinfo,,,"win32",1342777420689
arch,sysinfo,,,"x86",1342777420689
ws,sysinfo,,,"win32",1342777420689
locale,sysinfo,,,"en_US",1342777420689
processors,sysinfo,,,"2",1342777420689
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1342777420689
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1342777420689
java.specification.name,sysinfo,,,"Java Platform API Specification",1342777420689
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342777420689
java.specification.version,sysinfo,,,"1.6",1342777420689
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1342777420689
java.version,sysinfo,,,"1.6.0_26",1342777420689
java.vm.info,sysinfo,,,"mixed mode",1342777420689
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1342777420689
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1342777420689
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342777420689
java.vm.specification.version,sysinfo,,,"1.0",1342777420689
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1342777420689
java.vm.version,sysinfo,,,"20.1-b02",1342777420689
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1342777421766
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342777422210
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1342777424153
